224890.333333333,223900.333333333,222495,233057.166666667,193419.833333333,195744.833333333,221304.166666667,193836.166666667,190262.666666667,183747.5,247954.666666667,277819,252131.166666667,280115.666666667,248902.666666667,252433.166666667,255705.166666667,283244.5,257384.166666667,283832.833333333,267428.833333333,277388.5,265189.833333333,269395.166666667,268692,268548.333333333,275680.666666667,267917,266998.833333333,268563,297924.5,284405.5,280516.333333333,280587.666666667,283845,289442,285280.666666667,290332.333333333,284563.333333333,292269.333333333,253147.5,264412.833333333,266351.333333333,271503.166666667,257267.333333333,256879.833333333,270585,271015.5,271317,258889.166666667,228062.666666667,186416.5,185253.5,229626.833333333,188325.166666667,189845.833333333,188037.833333333,224044.5,188855.833333333,231363.5
223900.333333333,222929.333333333,221606,232123.666666667,192616.333333333,194944.333333333,220440.666666667,193042.666666667,189472.666666667,182991,247060.666666667,276827,251250.666666667,279153.666666667,248066.666666667,251597.666666667,254857.666666667,282296,256526.666666667,282878.333333333,266465.333333333,276400,264215.333333333,268443.666666667,267745,267590.333333333,274692.666666667,266969,266075.333333333,267628,296853,283349,279468.333333333,279508.666666667,282731,288319,284203.666666667,289248.333333333,283504.333333333,291151.333333333,252075,263291.333333333,265305.333333333,270428.666666667,256262.333333333,255874.333333333,269535,269962,270272,257891.666666667,227118.666666667,185631,184430,228671.333333333,187532.666666667,189009.333333333,187223.333333333,223121,188038.333333333,230417
222495,221606,220684,231146,191656,194038,219631,192141,188530,182114,246534,276287,250863,278807,247856,251448,254700,282071,256345,282632,265901,275871,263557,267974,267287,267073,274138,266493,265711,267230,296234,282584,278683,278564,281659,287293,283347,288439,282729,290198,250710,261859,264296,269357,255315,254918,268575,268991,269350,257010,226004,184648,183231,227523,186545,187819,186117,222046,186930,229344
233057.166666667,232123.666666667,231146,242104.333333333,200746.666666667,203239.666666667,230039.833333333,201252.833333333,197472.333333333,190751,258206.333333333,289366.5,262735.833333333,291999.833333333,259581.333333333,263341.333333333,266747.333333333,295414.5,268470.833333333,296002.666666667,278490.166666667,288930.5,276038.166666667,280658.333333333,279938.5,279716.166666667,287116.333333333,279107.5,278285.166666667,279877,310259,295968,291883.166666667,291763.333333333,295008.5,300907.5,296769.833333333,302101.166666667,296120.166666667,303947.666666667,262605,274283.166666667,276822.666666667,282124.833333333,267415.166666667,266999.666666667,281302.5,281738.5,282113,269188.333333333,236723.333333333,193408,191930.5,238315.166666667,195394.833333333,196735.166666667,194950.166666667,232577,195801.666666667,240220
193419.833333333,192616.333333333,191656,200746.666666667,166510.333333333,168553.333333333,190698.166666667,166907.166666667,163793.666666667,158206,213903.666666667,239698.5,217600.166666667,241805.166666667,214922.666666667,218011.666666667,220833.666666667,244585.5,222269.166666667,245080.333333333,230705.833333333,239333.5,228711.833333333,232464.666666667,231864.5,231702.833333333,237841.666666667,231183.5,230460.833333333,231791,257020,245247,241873.833333333,241834.666666667,244568.5,249433.5,245945.166666667,250339.833333333,245376.833333333,251922.333333333,217860,227550.833333333,229493.333333333,233905.166666667,221683.833333333,221343.333333333,233182.5,233547.5,233839,223126.666666667,196344.666666667,160445,159303.5,197674.833333333,162091.166666667,163276.833333333,161767.833333333,192898,162473.333333333,199223
195744.833333333,194944.333333333,194038,203239.666666667,168553.333333333,170632.333333333,193086.166666667,168965.166666667,165803.666666667,160153,216645.666666667,242779.5,220414.166666667,244946.166666667,217730.666666667,220870.666666667,223728.666666667,247783.5,225179.166666667,248281.333333333,233663.833333333,242411.5,231627.833333333,235461.666666667,234855.5,234681.833333333,240895.666666667,234162.5,233448.833333333,234791,260317,248364,244942.833333333,244876.666666667,247625.5,252562.5,249056.166666667,253516.833333333,248493.833333333,255096.333333333,220515,230322.833333333,232361.333333333,236821.166666667,224458.833333333,224112.333333333,236107.5,236475.5,236779,225931.666666667,198756.666666667,162404,161211.5,200098.833333333,164071.166666667,165238.833333333,163723.833333333,195271,164438.333333333,201680
221304.166666667,220440.666666667,219631,230039.833333333,190698.166666667,193086.166666667,218612.333333333,191197.333333333,187588.333333333,181213.5,245494.333333333,275135.5,249845.333333333,277698.833333333,246897.333333333,250492.833333333,253730.833333333,280984,255363.333333333,281537.166666667,264780.666666667,274724,262419.666666667,266871.833333333,266190.5,265961.166666667,272990.333333333,265394.5,264645.666666667,266150,294988.5,281348.5,277456.166666667,277294.333333333,280343.5,285969.5,282083.833333333,287170.166666667,281490.166666667,288883.666666667,249427.5,260517.666666667,263060.666666667,268086.333333333,254129.166666667,253731.166666667,267337.5,267749,268120,255835.833333333,224879.333333333,183709.5,182239,226383.666666667,185598.333333333,186812.666666667,185139.666666667,220946.5,185949.166666667,228218.5
193836.166666667,193042.666666667,192141,201252.833333333,166907.166666667,168965.166666667,191197.333333333,167314.333333333,164184.333333333,158588.5,214522.333333333,240399.5,218252.333333333,242542.833333333,215593.333333333,218701.833333333,221531.833333333,245351,222968.333333333,245844.166666667,231373.666666667,240035,229358.666666667,233152.833333333,232552.5,232381.166666667,238534.333333333,231866.5,231158.666666667,232488,257765.5,245931.5,242544.166666667,242480.333333333,245203.5,250091.5,246617.833333333,251034.166666667,246060.166666667,252599.666666667,218362.5,228074.666666667,230088.666666667,234505.333333333,222263.166666667,221920.166666667,233797.5,234162,234462,223720.833333333,196815.333333333,160818.5,159640,198144.666666667,162469.333333333,163627.666666667,162126.666666667,193363.5,162834.166666667,199709.5
190262.666666667,189472.666666667,188530,197472.333333333,163793.666666667,165803.666666667,187588.333333333,164184.333333333,161121.333333333,155625,210417.333333333,235792,214054.333333333,237865.333333333,211421.333333333,214460.333333333,217236.333333333,240601,218648.333333333,241087.666666667,226945.666666667,235433,224983.666666667,228676.333333333,228086,227926.666666667,233965.333333333,227416,226705.666666667,228014,252831,241249,237930.666666667,237891.333333333,240580,245366,241935.333333333,246258.666666667,241376.666666667,247814.666666667,214305,223837.666666667,225750.666666667,230090.333333333,218068.666666667,217733.666666667,229380,229739,230026,219488.333333333,193141.333333333,157827,156703,194449.666666667,159446.333333333,160611.666666667,159127.666666667,189751,159821.666666667,195973
183747.5,182991,182114,190751,158206,160153,181213.5,158588.5,155625,150319,203299,227819.5,206825.5,229839.5,204296,207238,209920,232493.5,211282.5,232962,219268.5,227473.5,217364.5,220949,220379.5,220220.5,226053,219730.5,219053.5,220315,244279,233074,229865.5,229814,232401.5,237030.5,233729.5,237911.5,233196.5,239403,206985,216191.5,218076,222264.5,210657.5,210333,221587.5,221933.5,222215,212035,186554,152438,151333.5,187815.5,154002.5,155111.5,153684.5,183281,154355,189294
